GroupID,VariableID,VariableName,LogicalCategory,VariableDescription,FormatString
B25001,Total,Number of Housing Units,Housing,Total number of housing units in the county,.0g
B25008_percent,Owner occupied,Owner Occupied,Housing,Percentage of housing units that are owner occupied,.0g
B25008_percent,Renter occupied,Renter Occupied,Housing,Percentage of housing units that are renter occupied,.0g
B25058,Median contract rent,Median Contract Rent,Housing,Median contract rent,.0g
B25064,Median gross rent,Median Gross Rent,Housing,Median gross rent (contracted rent plus estimated utilities),.0g
B25071,Median gross rent as a percentage of household income,Median Gross Rent as a Percentage of Household Income,Housing,Median gross rent (contracted rent plus estimated utilities) as a percentage of household income,.0g
B25075_percent,"$1,000,000 or more",Percent of Homes over $1million,Housing,Percent of homes valued at over $1million,.0g
B25077,Median value (dollars),Median Home Value ($),Housing,Median home value ($),.0g
B25081_percent,"Housing units with a mortgage, contract to purchase, or similar debt:",Housing Units with Mortgage or Similar,Housing,"Percentage of housing units with a mortgage, contract to purchase, or similar debt.",.0g
B25081_percent,"Housing units with a mortgage, contract to purchase, or similar debt: - With either a second mortgage or home equity loan, but not both: - Second mortgage only",Housing Units with Second Mortgage,Housing,Percentage of housing units with a second mortgage,.0g
B25081_percent,"Housing units with a mortgage, contract to purchase, or similar debt: - With either a second mortgage or home equity loan, but not both: - Home equity loan only",Housing Units with Home Equity Loan,Housing,Percentage of housing units with a home equity loan,.0g
B25081_percent,"Housing units with a mortgage, contract to purchase, or similar debt: - Both second mortgage and home equity loan",Housing Units with Second Mortgage and Home Equity Loan,Housing,Percentage of housing units with a second mortgage and a home equity loan,.0g
B25081_percent,Housing units without a mortgage,Housing Units without Mortgage,Housing,Percentage of ousing units without a mortgage,.0g
B25092,Total:,Median Home Costs as a Percent of Income,Housing,Median home costs as a percent of income,.0g
B25092,Housing units with a mortgage,Houses with a Mortgage - Median Home Costs as a Percent of Income,Housing,Median home costs as a percent of income for houses with a mortgage,.0g
B25092,Housing units without a mortgage,Houses without a Mortgage - Median Home Costs as a Percent of Income,Housing,Median home costs as a percent of income for houses without a mortgage,.0g
B25097,Total: - Median value for units with a mortgage,Median Home Value for Houses with a Mortgage ($),Housing,Median home value for houses without a mortgage,.0g
B25097,Total: - Median value for units without a mortgage,Median Home Value for Houses without a Mortgage ($),Housing,Median home value for houses without a mortgage ($),.0g
B25099,Total: - Median household income for units with a mortgage,Median Income for Households with a Mortgage ($),Income,Median income for households without a mortgage ($),.0g
B25099,Total: - Median household for units without a mortgage,Median Income for Households without a Mortgage ($),Income,Median income for households with a mortgage ($),.0g
CARS,Affordability,CARS Affordability,Housing,C.A.R.'s Traditional Housing Affordability Index (HAI) measures the percentage of households that can afford to purchase the median priced home in the state and regions of California based on traditional assumptions. C.A.R. also reports its traditional and first-time buyer indexes for regions and select counties within the state. The HAI is the most fundamental measure of housing well-being for buyers in the state.,.0g
B24060_percent,Computer and mathematical occupations,Percent of Workers in Computer and Mathematical Occupations,Demographic,"Percent of workers employed in computer and mathematical occupations (a proxy for ""tech workers"")",.0g
