Id,Id2,Geography,Year,Estimate; Median contract rent,Margin of Error; Median contract rent
0500000US06061,6061,"Placer County, California",2010,980,49
0500000US06065,6065,"Riverside County, California",2010,985,22
0500000US06067,6067,"Sacramento County, California",2010,865,13
0500000US06071,6071,"San Bernardino County, California",2010,922,18
0500000US06073,6073,"San Diego County, California",2010,1178,12
0500000US06075,6075,"San Francisco County, California",2010,1321,38
0500000US06077,6077,"San Joaquin County, California",2010,848,22
0500000US06079,6079,"San Luis Obispo County, California",2010,1034,53
0500000US06081,6081,"San Mateo County, California",2010,1394,31
0500000US06083,6083,"Santa Barbara County, California",2010,1183,41
0500000US06085,6085,"Santa Clara County, California",2010,1345,22
0500000US06087,6087,"Santa Cruz County, California",2010,1194,64
0500000US06089,6089,"Shasta County, California",2010,736,36
0500000US06095,6095,"Solano County, California",2010,1096,39
0500000US06097,6097,"Sonoma County, California",2010,1121,27
0500000US06099,6099,"Stanislaus County, California",2010,813,26
0500000US06101,6101,"Sutter County, California",2010,713,33
0500000US06107,6107,"Tulare County, California",2010,665,27
0500000US06111,6111,"Ventura County, California",2010,1294,53
0500000US06113,6113,"Yolo County, California",2010,957,48
0500000US06115,6115,"Yuba County, California",2010,707,55
0500000US06001,6001,"Alameda County, California",2011,1173,17
0500000US06007,6007,"Butte County, California",2011,741,31
0500000US06013,6013,"Contra Costa County, California",2011,1181,28
0500000US06017,6017,"El Dorado County, California",2011,871,50
0500000US06019,6019,"Fresno County, California",2011,730,14
0500000US06023,6023,"Humboldt County, California",2011,757,40
0500000US06025,6025,"Imperial County, California",2011,592,55
0500000US06029,6029,"Kern County, California",2011,713,22
0500000US06031,6031,"Kings County, California",2011,769,26
0500000US06033,6033,"Lake County, California",2011,791,115
0500000US06037,6037,"Los Angeles County, California",2011,1073,6
0500000US06039,6039,"Madera County, California",2011,671,33
0500000US06041,6041,"Marin County, California",2011,1391,69
0500000US06045,6045,"Mendocino County, California",2011,857,65
0500000US06047,6047,"Merced County, California",2011,712,33
0500000US06053,6053,"Monterey County, California",2011,1061,31
0500000US06055,6055,"Napa County, California",2011,1223,92
0500000US06057,6057,"Nevada County, California",2011,1009,141
0500000US06059,6059,"Orange County, California",2011,1360,15
0500000US06061,6061,"Placer County, California",2011,1040,55
0500000US06065,6065,"Riverside County, California",2011,960,21
0500000US06067,6067,"Sacramento County, California",2011,872,12
0500000US06071,6071,"San Bernardino County, California",2011,937,18
0500000US06073,6073,"San Diego County, California",2011,1170,16
0500000US06075,6075,"San Francisco County, California",2011,1361,38
0500000US06077,6077,"San Joaquin County, California",2011,834,22
0500000US06079,6079,"San Luis Obispo County, California",2011,1125,46
0500000US06081,6081,"San Mateo County, California",2011,1467,41
0500000US06083,6083,"Santa Barbara County, California",2011,1181,39
0500000US06085,6085,"Santa Clara County, California",2011,1389,20
0500000US06087,6087,"Santa Cruz County, California",2011,1264,70
0500000US06089,6089,"Shasta County, California",2011,728,42
0500000US06095,6095,"Solano County, California",2011,1096,57
0500000US06097,6097,"Sonoma County, California",2011,1108,27
0500000US06099,6099,"Stanislaus County, California",2011,802,21
0500000US06101,6101,"Sutter County, California",2011,715,87
0500000US06107,6107,"Tulare County, California",2011,641,24
0500000US06111,6111,"Ventura County, California",2011,1303,42
0500000US06113,6113,"Yolo County, California",2011,900,49
0500000US06115,6115,"Yuba County, California",2011,628,81
0500000US06001,6001,"Alameda County, California",2012,1182,16
0500000US06007,6007,"Butte County, California",2012,783,28
0500000US06013,6013,"Contra Costa County, California",2012,1230,28
0500000US06017,6017,"El Dorado County, California",2012,945,65
0500000US06019,6019,"Fresno County, California",2012,740,14
0500000US06023,6023,"Humboldt County, California",2012,738,49
0500000US06025,6025,"Imperial County, California",2012,595,29
0500000US06029,6029,"Kern County, California",2012,723,19
0500000US06031,6031,"Kings County, California",2012,691,29
0500000US06033,6033,"Lake County, California",2012,644,52
0500000US06037,6037,"Los Angeles County, California",2012,1088,6
0500000US06039,6039,"Madera County, California",2012,780,67
0500000US06041,6041,"Marin County, California",2012,1500,56
0500000US06045,6045,"Mendocino County, California",2012,740,90
0500000US06047,6047,"Merced County, California",2012,711,30
0500000US06053,6053,"Monterey County, California",2012,1094,36
0500000US06055,6055,"Napa County, California",2012,1214,58
0500000US06057,6057,"Nevada County, California",2012,1048,79
0500000US06059,6059,"Orange County, California",2012,1391,13
0500000US06061,6061,"Placer County, California",2012,1093,50
0500000US06065,6065,"Riverside County, California",2012,985,19
0500000US06067,6067,"Sacramento County, California",2012,869,12
0500000US06071,6071,"San Bernardino County, California",2012,936,18
0500000US06073,6073,"San Diego County, California",2012,1195,11
0500000US06075,6075,"San Francisco County, California",2012,1459,38
0500000US06077,6077,"San Joaquin County, California",2012,845,22
0500000US06079,6079,"San Luis Obispo County, California",2012,1087,38
0500000US06081,6081,"San Mateo County, California",2012,1500,38
0500000US06083,6083,"Santa Barbara County, California",2012,1234,39
0500000US06085,6085,"Santa Clara County, California",2012,1480,21
0500000US06087,6087,"Santa Cruz County, California",2012,1378,75
0500000US06089,6089,"Shasta County, California",2012,754,46
0500000US06095,6095,"Solano County, California",2012,1115,30
0500000US06097,6097,"Sonoma County, California",2012,1145,26
0500000US06099,6099,"Stanislaus County, California",2012,806,17
0500000US06101,6101,"Sutter County, California",2012,744,53
0500000US06107,6107,"Tulare County, California",2012,689,26
0500000US06111,6111,"Ventura County, California",2012,1356,34
0500000US06113,6113,"Yolo County, California",2012,934,34
0500000US06115,6115,"Yuba County, California",2012,760,57
0500000US06001,6001,"Alameda County, California",2013,1236,17
0500000US06007,6007,"Butte County, California",2013,765,38
0500000US06013,6013,"Contra Costa County, California",2013,1283,38
0500000US06017,6017,"El Dorado County, California",2013,866,37
0500000US06019,6019,"Fresno County, California",2013,738,13
0500000US06023,6023,"Humboldt County, California",2013,797,44
0500000US06025,6025,"Imperial County, California",2013,639,32
0500000US06029,6029,"Kern County, California",2013,744,19
0500000US06031,6031,"Kings County, California",2013,694,48
0500000US06033,6033,"Lake County, California",2013,764,25
0500000US06037,6037,"Los Angeles County, California",2013,1114,6
0500000US06039,6039,"Madera County, California",2013,826,23
0500000US06041,6041,"Marin County, California",2013,1527,90
0500000US06045,6045,"Mendocino County, California",2013,785,83
0500000US06047,6047,"Merced County, California",2013,730,31
0500000US06053,6053,"Monterey County, California",2013,1139,30
0500000US06055,6055,"Napa County, California",2013,1197,67
0500000US06057,6057,"Nevada County, California",2013,1071,90
0500000US06059,6059,"Orange County, California",2013,1429,16
0500000US06061,6061,"Placer County, California",2013,1172,49
0500000US06065,6065,"Riverside County, California",2013,1016,18
0500000US06067,6067,"Sacramento County, California",2013,890,15
0500000US06071,6071,"San Bernardino County, California",2013,962,14
0500000US06073,6073,"San Diego County, California",2013,1214,13
0500000US06075,6075,"San Francisco County, California",2013,1440,32
0500000US06077,6077,"San Joaquin County, California",2013,849,20
0500000US06079,6079,"San Luis Obispo County, California",2013,1078,48
0500000US06081,6081,"San Mateo County, California",2013,1599,42
0500000US06083,6083,"Santa Barbara County, California",2013,1237,43
0500000US06085,6085,"Santa Clara County, California",2013,1577,24
0500000US06087,6087,"Santa Cruz County, California",2013,1244,66
0500000US06089,6089,"Shasta County, California",2013,713,36
0500000US06095,6095,"Solano County, California",2013,1145,35
0500000US06097,6097,"Sonoma County, California",2013,1172,34
0500000US06099,6099,"Stanislaus County, California",2013,797,15
0500000US06101,6101,"Sutter County, California",2013,835,39
0500000US06107,6107,"Tulare County, California",2013,669,25
0500000US06111,6111,"Ventura County, California",2013,1432,34
0500000US06113,6113,"Yolo County, California",2013,988,41
0500000US06115,6115,"Yuba County, California",2013,768,51
