Id,Id2,Geography,Year,Estimate; Total:,Margin of Error; Total:,Estimate; With cash rent:,Margin of Error; With cash rent:,Estimate; With cash rent: - Less than $100,Margin of Error; With cash rent: - Less than $100,Estimate; With cash rent: - $100 to $149,Margin of Error; With cash rent: - $100 to $149,Estimate; With cash rent: - $150 to $199,Margin of Error; With cash rent: - $150 to $199,Estimate; With cash rent: - $200 to $249,Margin of Error; With cash rent: - $200 to $249,Estimate; With cash rent: - $250 to $299,Margin of Error; With cash rent: - $250 to $299,Estimate; With cash rent: - $300 to $349,Margin of Error; With cash rent: - $300 to $349,Estimate; With cash rent: - $350 to $399,Margin of Error; With cash rent: - $350 to $399,Estimate; With cash rent: - $400 to $449,Margin of Error; With cash rent: - $400 to $449,Estimate; With cash rent: - $450 to $499,Margin of Error; With cash rent: - $450 to $499,Estimate; With cash rent: - $500 to $549,Margin of Error; With cash rent: - $500 to $549,Estimate; With cash rent: - $550 to $599,Margin of Error; With cash rent: - $550 to $599,Estimate; With cash rent: - $600 to $649,Margin of Error; With cash rent: - $600 to $649,Estimate; With cash rent: - $650 to $699,Margin of Error; With cash rent: - $650 to $699,Estimate; With cash rent: - $700 to $749,Margin of Error; With cash rent: - $700 to $749,Estimate; With cash rent: - $750 to $799,Margin of Error; With cash rent: - $750 to $799,Estimate; With cash rent: - $800 to $899,Margin of Error; With cash rent: - $800 to $899,Estimate; With cash rent: - $900 to $999,Margin of Error; With cash rent: - $900 to $999,"Estimate; With cash rent: - $1,000 to $1,249","Margin of Error; With cash rent: - $1,000 to $1,249","Estimate; With cash rent: - $1,250 to $1,499","Margin of Error; With cash rent: - $1,250 to $1,499","Estimate; With cash rent: - $1,500 to $1,999","Margin of Error; With cash rent: - $1,500 to $1,999","Estimate; With cash rent: - $2,000 or more","Margin of Error; With cash rent: - $2,000 or more",Estimate; No cash rent,Margin of Error; No cash rent
0500000US06039,6039,"Madera County, California",2005,13217,1794,12019,1704,0,293,219,208,551,337,361,356,63,85,1026,717,367,273,548,438,1329,702,1584,730,856,547,1857,778,538,402,514,427,909,689,705,579,341,352,251,224,0,293,0,293,0,293,1198,608
0500000US06041,6041,"Marin County, California",2005,35140,2595,33961,2566,147,171,0,293,540,459,224,221,232,206,414,242,183,251,129,171,311,435,718,611,232,283,80,97,193,186,427,311,235,202,1560,679,2277,847,7368,1440,5827,1135,8252,1666,4612,1559,1179,586
0500000US06045,6045,"Mendocino County, California",2005,13059,1582,11716,1539,133,119,327,348,487,324,62,107,360,317,538,433,191,225,507,353,540,334,553,363,987,606,1203,829,805,568,1101,476,877,489,1667,741,355,394,527,395,77,125,360,267,59,103,1343,660
0500000US06047,6047,"Merced County, California",2005,29284,2274,26757,2181,0,293,339,330,774,377,332,287,408,393,911,599,1769,696,1761,803,1681,651,2800,821,2048,740,2307,942,1386,582,933,535,1547,697,2980,883,1520,678,2446,908,381,388,434,424,0,293,2527,824
0500000US06053,6053,"Monterey County, California",2005,54966,2943,52509,2909,211,243,278,314,517,410,1341,774,490,406,316,247,421,367,861,538,548,339,1541,700,1273,660,1193,541,1948,1049,2832,1070,3727,1185,5675,1343,6745,1411,8667,1785,4273,987,6841,1730,2811,780,2457,812
0500000US06059,6059,"Orange County, California",2005,368878,8059,357571,7829,448,333,264,177,2755,1111,2918,1079,1965,1080,1547,684,2004,753,1589,628,1599,706,3462,1014,2504,1063,4333,1398,4906,1519,5661,1240,8150,1550,30121,3164,41757,3655,97279,6190,65733,4303,58088,4493,20488,2113,11307,1997
0500000US06061,6061,"Placer County, California",2005,33722,3014,32639,2897,0,293,317,460,247,161,493,397,472,423,282,277,141,177,130,155,1215,662,433,318,795,488,1178,633,1205,591,961,409,1542,684,5688,1689,3490,1089,6055,1466,4783,1300,2720,881,492,306,1083,412
0500000US06065,6065,"Riverside County, California",2005,188839,7217,180402,7344,255,201,1207,1049,2323,828,2525,876,2727,783,3850,1170,3640,1571,5495,1638,4648,1417,5526,1439,7711,2091,9080,2007,12750,2970,11001,2345,12680,1719,20686,2531,19321,2884,24776,2752,15278,2731,11278,2170,3645,1277,8437,1870
0500000US06067,6067,"Sacramento County, California",2005,194871,5989,189430,6051,2443,1593,958,674,3241,1354,2390,1283,1423,569,2103,590,2315,972,2684,710,2607,799,4729,1249,10832,1939,10137,2157,18389,2622,17173,2638,19054,3130,28471,3186,15978,2181,24785,2651,12265,2157,6123,1231,1330,652,5441,1316
0500000US06071,6071,"San Bernardino County, California",2005,205157,7467,194172,7431,1341,976,1784,1151,1861,930,2471,897,1672,700,3462,1366,2492,812,3978,1046,5210,1491,11326,2504,11833,2214,11190,2283,9918,2544,13302,2007,10713,2177,26574,3132,20750,3002,29000,3592,14055,2224,9638,2095,1602,784,10985,2359
0500000US06073,6073,"San Diego County, California",2005,434683,8540,419470,9026,755,386,720,403,1796,597,6803,1375,1264,539,2160,632,2586,735,5689,1599,4094,1019,6364,1562,4634,1131,13224,2320,16734,2001,19155,2582,23437,3123,53770,3753,47026,3754,84730,4653,47912,3149,56154,5766,20463,2771,15213,2346
0500000US06075,6075,"San Francisco County, California",2005,199796,4863,193425,5159,1382,649,971,490,1828,651,8719,1788,3470,1270,2716,910,2881,1034,4892,1096,3352,951,4412,1040,4758,1361,5399,1188,5381,1225,7011,1414,4860,1085,11682,1748,14466,2196,31329,3400,22006,2192,31352,2870,20558,2228,6371,1378
0500000US06077,6077,"San Joaquin County, California",2005,76824,3971,73230,4013,690,526,899,784,377,260,1207,560,717,372,1404,651,1734,791,1487,598,1649,577,3889,1080,5074,1327,6220,1126,4892,1397,5775,1346,6262,1433,10986,2143,4752,1403,8233,1431,3475,983,2636,880,872,292,3594,1057
0500000US06079,6079,"San Luis Obispo County, California",2005,37919,2796,35230,2649,0,293,119,148,202,203,216,223,57,95,238,318,234,194,920,531,405,303,855,567,451,303,1664,877,1791,684,2444,980,2818,1118,4233,993,2681,929,6214,1216,4689,1253,3730,1317,1269,707,2689,1125
0500000US06081,6081,"San Mateo County, California",2005,95555,3994,92952,4035,448,401,286,265,692,467,559,322,295,251,612,304,363,265,264,237,85,136,1047,548,480,384,637,522,1300,576,2391,1337,2216,1244,7441,1896,9426,1826,22519,2967,15156,2033,17899,2791,8836,1422,2603,776
0500000US06083,6083,"Santa Barbara County, California",2005,58174,3149,54985,3143,351,284,221,348,773,434,956,467,539,418,677,318,597,394,342,277,596,344,852,456,912,506,1401,601,2378,1219,1683,678,2213,1006,6570,1343,4538,1177,9167,1530,7278,1746,7427,1355,5514,1239,3189,912
0500000US06085,6085,"Santa Clara County, California",2005,230742,6959,223544,6656,388,304,459,301,1805,824,1808,633,1040,505,1385,592,2465,1369,1416,600,1324,565,2163,1090,1607,640,3832,1713,4529,1340,4251,1377,8796,1675,21760,3063,22272,2514,52417,3490,34318,3060,38572,4183,16937,2407,7198,1951
0500000US06087,6087,"Santa Cruz County, California",2005,37400,2293,35752,2250,316,372,241,308,466,343,390,216,306,273,198,214,354,344,305,262,1175,680,951,518,614,432,450,311,788,574,842,425,1618,679,3467,1099,1924,777,7929,1595,5016,1182,5869,1180,2533,797,1648,791
0500000US06089,6089,"Shasta County, California",2005,23166,1885,22425,1905,104,126,505,541,650,534,531,337,921,665,384,265,848,611,1339,621,2151,843,1702,658,1679,689,1958,844,1644,795,1310,642,2055,784,1734,778,784,475,1643,728,102,167,132,161,249,333,741,345
0500000US06095,6095,"Solano County, California",2005,44550,2972,42489,2977,149,162,137,135,946,752,563,302,276,306,390,318,0,293,607,307,314,370,928,501,379,323,969,660,1367,1043,1650,675,2004,824,5905,1527,5230,1153,9206,1798,6183,1399,4126,1326,1160,545,2061,795
0500000US06097,6097,"Sonoma County, California",2005,63728,3663,61494,3756,162,147,167,163,854,409,1621,1110,231,160,894,498,339,209,982,731,821,516,969,527,796,644,1419,1004,1210,617,1475,612,3692,1301,9828,1679,7159,1377,10449,1783,7707,1565,7888,1962,2831,1338,2234,623
0500000US06099,6099,"Stanislaus County, California",2005,57506,3476,53615,3216,661,718,0,293,734,335,914,479,941,933,656,460,592,418,1434,558,2235,809,4098,1140,5042,1359,5046,1342,4742,1500,4257,1182,3983,1075,5060,1245,3529,1020,7468,1841,1591,687,260,205,372,259,3891,1233
0500000US06101,6101,"Sutter County, California",2005,10166,1143,9368,1186,0,293,258,337,88,99,290,277,268,327,162,194,334,273,244,205,638,339,955,481,614,420,490,386,951,423,338,267,771,613,854,452,957,556,763,456,358,250,35,57,0,293,798,456
0500000US06107,6107,"Tulare County, California",2005,48378,2747,45488,2736,195,273,679,386,1680,671,1255,557,1409,605,3579,1012,5055,1123,4572,1326,3629,872,4476,885,3614,952,2992,897,3146,934,2183,850,1984,823,2727,859,1352,764,667,349,150,146,0,293,144,139,2890,745
0500000US06111,6111,"Ventura County, California",2005,78525,4173,75006,4204,593,442,383,365,486,387,1275,939,708,433,775,510,757,492,1013,507,1111,1070,1458,660,1375,845,1376,648,1159,573,2148,924,2911,903,6255,1164,7447,1613,16109,2107,10751,1602,12529,2324,4387,917,3519,921
0500000US06113,6113,"Yolo County, California",2005,29413,1963,28349,1953,259,301,199,318,551,369,287,316,141,229,283,272,141,167,330,205,301,261,509,343,928,541,1908,676,1829,722,2599,858,1775,662,3990,952,3244,1060,3136,740,2203,724,2948,1036,788,396,1064,690
0500000US06115,6115,"Yuba County, California",2005,9723,1538,7836,1534,120,110,9,17,93,114,236,292,410,502,473,331,156,163,720,485,815,588,651,365,322,285,810,478,808,454,489,235,648,435,248,244,415,436,178,164,235,322,0,293,0,293,1887,541
0500000US06001,6001,"Alameda County, California",2006,220508,5219,214417,5440,1839,759,780,422,2344,711,4406,1063,1782,696,2555,797,2052,662,2433,904,2371,845,4050,1014,3404,1096,5217,1318,6618,1362,7523,1273,9721,1669,21447,2516,25704,3085,49072,3211,24607,2458,27628,2754,8864,1724,6091,1139
0500000US06007,6007,"Butte County, California",2006,34302,2043,32863,2077,192,183,63,84,531,403,674,445,794,369,489,321,1081,607,2051,834,1637,731,2145,646,1466,607,2729,986,2936,892,2427,759,1933,688,2796,1054,3213,947,3479,1157,1156,589,861,469,210,174,1439,677
0500000US06013,6013,"Contra Costa County, California",2006,100494,4660,96550,4467,951,672,548,298,1402,790,1613,709,277,310,786,489,671,394,1288,562,810,521,899,427,909,487,1610,572,1284,595,2514,837,2902,1019,8736,1519,13295,1920,22542,2439,12411,1789,14496,2518,6606,1326,3944,1287
0500000US06017,6017,"El Dorado County, California",2006,14011,1784,13468,1808,0,289,100,176,69,116,61,108,276,322,0,289,167,201,255,340,421,360,635,444,702,497,742,494,1019,604,612,452,957,565,1309,553,2252,967,2045,884,1270,560,576,318,0,289,543,416
0500000US06019,6019,"Fresno County, California",2006,124893,3820,117937,3780,1005,531,2013,903,2198,654,3340,946,2354,802,4579,1041,4264,1124,5840,1286,8073,1454,9549,1518,10016,1820,11024,1707,9889,1847,8101,1533,7723,1304,9471,1570,5826,1350,7740,1503,2975,784,1482,685,475,263,6956,1288
0500000US06023,6023,"Humboldt County, California",2006,23909,1734,22222,1665,0,289,70,83,477,361,276,215,460,456,299,223,522,389,1645,576,1545,638,2610,805,1765,646,1664,644,2140,847,1640,611,687,366,1885,738,1098,600,1500,877,1220,674,691,491,28,49,1687,654
0500000US06025,6025,"Imperial County, California",2006,18008,2069,16769,2058,330,314,429,286,926,473,262,234,495,280,1051,544,818,526,1664,673,1996,793,1122,510,2195,828,804,565,1026,629,683,658,572,360,871,600,375,313,1003,789,93,107,54,95,0,289,1239,585
0500000US06029,6029,"Kern County, California",2006,90746,3920,86509,3799,881,517,520,386,1179,621,2166,821,1306,617,3822,1139,4105,1106,6181,1330,7738,1482,6942,1489,7646,1670,9069,1678,4946,1397,5584,1029,3924,1237,6707,1633,4403,1381,5958,1490,1652,641,1397,699,383,269,4237,1051
0500000US06031,6031,"Kings County, California",2006,17330,1614,14353,1592,0,289,39,68,350,320,85,105,17,31,500,361,1617,684,1235,539,1212,770,1986,832,766,448,1807,850,808,603,875,457,430,344,760,446,460,363,1063,575,60,99,283,212,0,289,2977,779
0500000US06037,6037,"Los Angeles County, California",2006,1607392,12498,1567880,12305,7177,1462,4482,1326,8911,1332,26541,2295,10915,1787,13520,1825,14545,1889,26220,2692,28413,2428,52891,4019,46950,3161,73386,4328,75212,4418,98601,5178,93374,5269,193876,7269,171528,7391,274599,9360,144378,5750,133610,5560,68751,4082,39512,2676
0500000US06039,6039,"Madera County, California",2006,15988,2096,14993,1989,45,76,317,325,159,189,312,273,168,158,434,345,845,532,709,470,898,607,1072,598,787,433,1461,664,851,575,927,646,788,505,1499,819,1240,687,1827,851,542,509,112,112,0,289,995,502
0500000US06041,6041,"Marin County, California",2006,35072,2433,34154,2375,450,437,0,289,297,246,257,215,0,289,0,289,216,186,455,377,126,147,122,157,207,213,956,623,144,140,669,366,63,104,1641,724,1199,613,6500,1325,7111,1273,8502,1255,5239,1261,918,429
0500000US06045,6045,"Mendocino County, California",2006,11740,1407,10487,1338,0,289,520,446,225,218,399,413,100,116,449,339,289,293,344,294,356,489,479,300,352,237,872,502,477,276,376,284,734,529,1661,792,665,409,1660,649,85,108,444,390,0,289,1253,488
0500000US06047,6047,"Merced County, California",2006,33267,2662,31103,2601,119,142,145,155,413,357,524,293,337,395,1444,686,1482,644,1353,569,1343,590,4170,1414,1132,610,2560,1060,3227,941,1616,795,680,349,3510,1039,2062,844,4413,1332,440,307,0,289,133,187,2164,753
0500000US06053,6053,"Monterey County, California",2006,54884,2821,52450,2699,0,289,61,99,628,403,1003,540,431,279,823,513,551,360,1398,609,590,454,1436,575,1163,433,1706,695,1460,603,2416,839,2717,749,6751,1321,6130,1344,10973,1329,4849,1034,5147,1291,2217,752,2434,796
0500000US06055,6055,"Napa County, California",2006,17939,1701,16483,1772,0,289,94,154,232,198,42,77,250,277,135,160,66,111,104,122,196,189,392,314,740,499,335,341,650,305,1523,802,992,514,1102,535,1411,746,3383,851,1381,575,3001,952,454,288,1456,664
0500000US06057,6057,"Nevada County, California",2006,10235,1589,10033,1558,57,93,0,289,132,190,0,289,0,289,104,117,13,22,291,288,493,435,614,455,64,113,379,380,240,249,751,813,563,356,835,412,728,504,2767,1095,1370,800,492,275,140,136,202,179
0500000US06059,6059,"Orange County, California",2006,365593,7906,356951,7753,390,255,716,457,1902,740,4241,1068,2237,899,1388,548,1371,465,1413,586,889,507,2588,787,2410,912,2822,987,3462,881,4972,1258,6358,1291,27035,2393,31290,2751,90985,4914,64668,4336,71852,3819,33962,2911,8642,1436
0500000US06061,6061,"Placer County, California",2006,34062,2822,32785,2811,61,105,110,187,251,307,252,214,386,262,152,149,325,368,396,372,51,88,742,547,241,208,1643,759,2157,900,555,416,1666,637,5359,1191,5296,1408,6558,1575,3653,1197,2332,1010,599,488,1277,530
0500000US06065,6065,"Riverside County, California",2006,198403,5319,189810,5150,369,306,639,342,2671,890,1569,588,1367,621,4265,1126,3713,1243,4669,1164,4303,1108,6727,1663,7406,1323,9965,1555,6932,1438,9955,1573,10903,1830,21173,2874,21426,2892,31801,3309,16645,2362,18264,2723,5048,1107,8593,1476
0500000US06067,6067,"Sacramento County, California",2006,194245,5916,188426,6078,1319,689,1414,694,1568,488,2438,705,1264,600,1905,712,2630,953,3030,869,3684,903,5568,1012,7998,1487,10966,1842,15370,2052,13822,2232,14817,2145,27902,2890,17101,2205,30219,3069,14882,2151,7661,1798,2868,915,5819,1190
0500000US06071,6071,"San Bernardino County, California",2006,199393,6371,192293,6085,1046,633,808,538,1152,365,2521,773,1753,672,2394,850,3263,995,4368,1135,3601,929,8176,1450,6899,1688,9914,1462,10938,1593,12522,2224,11997,1865,26691,2761,18870,2619,32593,3011,15581,2556,13911,2286,3295,938,7100,1403
0500000US06073,6073,"San Diego County, California",2006,440377,8456,425740,7978,882,456,941,480,1436,667,6291,1286,2165,605,2895,791,2264,703,4165,1079,3680,912,7058,1284,4165,1104,10335,1709,15397,2227,18170,2401,22048,2381,47284,3231,45932,3779,86174,4711,54375,4297,64505,4619,25578,2910,14637,1812
0500000US06075,6075,"San Francisco County, California",2006,195835,4469,189827,4601,1019,589,1981,906,1595,673,6794,1318,3411,1008,3825,1112,2190,774,3499,847,3077,1066,4012,1075,3035,874,6193,1344,4745,1230,6130,1385,4630,1189,11832,1782,11766,1493,29574,2613,23873,2611,32334,3107,24312,2346,6008,1246
0500000US06077,6077,"San Joaquin County, California",2006,77981,3549,73696,3316,427,394,495,339,1031,443,927,428,772,433,1247,534,1407,637,1524,732,2247,785,3811,1042,3579,1064,7093,1500,5971,1232,5010,1308,5640,1412,9503,1796,5701,1115,9104,1746,5419,1339,1835,700,953,545,4285,1184
0500000US06079,6079,"San Luis Obispo County, California",2006,41353,2514,38276,2534,52,90,0,289,280,404,500,304,475,394,587,575,370,424,240,223,195,180,1310,598,1802,739,1967,774,1390,707,1708,775,2686,913,3448,1027,3483,1007,8873,1701,4883,1261,3412,1347,615,508,3077,1074
0500000US06081,6081,"San Mateo County, California",2006,92730,3536,90174,3339,422,377,51,88,921,442,703,441,170,144,52,87,194,145,609,424,511,368,807,538,256,289,718,512,1445,579,1019,510,1659,798,5437,1127,9563,1676,20513,2476,17059,2312,15453,2146,12612,1621,2556,1073
0500000US06083,6083,"Santa Barbara County, California",2006,65741,2439,62479,2478,61,75,502,347,705,456,1010,445,653,372,636,369,131,158,974,565,493,366,1066,599,1222,626,1534,587,1858,720,2058,622,1627,636,6123,1161,7406,1316,11797,1835,7860,1333,9469,1924,5294,994,3262,693
0500000US06085,6085,"Santa Clara County, California",2006,230620,5831,223641,5749,310,274,1494,596,1136,589,3535,1027,701,333,1215,484,1611,546,1939,626,1828,645,2354,699,2063,789,2765,962,1854,764,3933,1139,8228,1443,19036,2130,19423,2246,56946,3210,35179,2939,41647,3247,16444,2297,6979,1248
0500000US06087,6087,"Santa Cruz County, California",2006,37332,2695,35586,2712,139,216,127,141,190,182,490,372,399,257,871,521,872,542,774,523,291,289,821,507,642,549,824,499,353,286,977,570,631,461,2914,874,3497,1093,8249,1429,3724,1052,6813,1519,1988,817,1746,727
0500000US06089,6089,"Shasta County, California",2006,23496,2071,22655,2126,428,513,160,151,227,167,844,559,311,220,318,212,972,604,1291,543,1355,848,2299,831,3254,1102,1569,643,1761,1001,1007,479,1211,628,2482,1161,797,508,2128,953,113,188,63,99,65,110,841,500
0500000US06095,6095,"Solano County, California",2006,46838,2676,43651,2482,135,162,322,215,679,431,1114,605,392,280,163,198,331,284,588,334,264,204,900,437,298,260,1282,588,1314,605,876,397,2571,857,7194,1342,5219,1254,9372,1461,4822,997,5110,1259,705,408,3187,891
0500000US06097,6097,"Sonoma County, California",2006,64350,2921,61064,2993,157,184,83,112,749,374,1050,537,165,159,560,471,405,423,505,329,434,358,1262,472,525,305,1784,801,1822,739,2544,878,3556,1085,6730,1442,5574,1378,14705,1767,8000,1486,8822,1640,1632,738,3286,799
0500000US06099,6099,"Stanislaus County, California",2006,57700,3023,55266,2945,371,394,631,533,872,527,1192,472,865,524,1039,583,1025,478,1762,763,1721,647,4097,1067,3254,784,4163,1165,5325,1143,4343,1185,3314,863,6417,1393,4628,1121,8166,1511,1439,519,445,387,197,157,2434,666
0500000US06101,6101,"Sutter County, California",2006,10804,1304,10347,1240,44,78,76,106,185,281,591,435,333,330,18,32,59,96,478,301,559,373,1052,571,692,415,759,489,1112,660,395,277,578,318,885,454,624,491,1607,665,300,175,0,289,0,289,457,376
0500000US06107,6107,"Tulare County, California",2006,49383,2765,45660,2658,603,425,532,420,447,301,1180,566,2035,788,3660,903,2452,886,4585,896,4123,1038,4512,1023,2856,932,3708,1074,3155,1080,2115,738,1437,636,2505,829,2098,752,2462,853,223,206,742,451,230,217,3723,962
0500000US06111,6111,"Ventura County, California",2006,81132,3647,77722,3473,389,320,550,397,957,452,1119,573,652,344,1093,598,824,450,900,487,1124,798,672,377,1446,646,1348,654,1400,601,1825,779,2494,804,4129,884,5053,1070,16685,1790,15156,1812,15012,2186,4894,1215,3410,857
0500000US06113,6113,"Yolo County, California",2006,30047,1600,29105,1570,0,289,0,289,226,237,491,483,75,124,673,402,631,470,679,544,359,375,2086,965,1546,673,1915,863,1209,614,1076,561,2502,1028,4164,1004,2541,778,3212,792,2181,696,2460,772,1079,778,942,442
0500000US06115,6115,"Yuba County, California",2006,10875,1297,8390,1406,0,289,24,43,88,144,318,252,373,307,566,382,424,385,619,522,1011,651,510,308,234,209,894,556,428,205,580,402,263,279,592,385,694,601,313,287,198,175,261,293,0,289,2485,967
0500000US06001,6001,"Alameda County, California",2007,221400,5963,214513,5788,1117,554,1331,637,2213,800,5106,1125,1636,598,2201,802,1524,605,2020,714,1770,488,2533,866,3028,952,5525,1219,5499,1111,8795,1549,9007,1611,25199,2483,21994,2743,44634,3084,26610,2500,30075,2491,12696,1746,6887,1494
0500000US06007,6007,"Butte County, California",2007,35291,2080,33585,1945,39,70,182,288,841,749,785,478,654,430,1283,651,860,558,1000,439,1286,587,2508,904,2152,1022,2585,939,3171,939,1289,692,2225,922,3356,1202,2931,944,3653,1026,1888,852,580,420,317,345,1706,599
0500000US06013,6013,"Contra Costa County, California",2007,105605,4007,102872,4089,1206,673,524,442,666,395,1862,658,2145,850,890,425,344,275,1692,756,749,395,1355,785,909,449,1904,755,1371,700,1442,515,2775,882,10225,1896,10812,2347,23043,2472,13883,1668,16980,1972,8095,1457,2733,702
0500000US06017,6017,"El Dorado County, California",2007,18552,1993,18193,1921,0,292,349,406,206,159,240,326,140,138,171,200,100,166,923,784,499,386,452,347,672,422,724,558,1317,809,978,583,915,503,2808,995,1525,695,2273,815,1667,722,1934,824,300,252,359,271
0500000US06019,6019,"Fresno County, California",2007,123486,4539,118061,4570,975,462,1393,626,2240,834,2751,849,2018,628,4067,1028,2951,895,4484,1277,4981,1320,8243,1452,7126,1206,10582,1649,12531,2005,8235,1731,7249,1440,10269,2018,8823,1732,12160,2007,5226,1223,1022,523,735,337,5425,990
0500000US06023,6023,"Humboldt County, California",2007,21388,1855,18997,1684,216,173,125,124,129,197,244,209,376,278,111,135,580,361,1078,500,932,473,1606,595,1614,725,1568,663,1325,705,1026,487,1077,566,1337,545,1249,622,3005,923,934,675,330,282,135,159,2391,918
0500000US06025,6025,"Imperial County, California",2007,23538,1917,22503,1980,326,255,516,381,869,527,1453,667,1312,758,871,500,988,637,2186,898,2759,919,2835,931,799,407,831,544,2099,786,784,451,846,678,1090,562,756,497,903,618,280,308,0,292,0,292,1035,445
0500000US06029,6029,"Kern County, California",2007,91840,4071,87085,4010,185,219,42,71,515,295,1981,813,2202,867,2892,824,3881,998,3592,998,5841,1323,7877,1532,7112,1616,9139,1645,6827,1553,5010,1244,4377,1142,6969,1367,4662,1250,8613,1593,3381,1117,1324,692,663,535,4755,1135
0500000US06031,6031,"Kings County, California",2007,15479,1414,13381,1504,0,292,385,347,174,159,338,263,436,421,462,371,630,454,721,456,1672,813,622,324,1395,620,1363,598,524,338,493,395,431,303,467,259,1205,612,1632,642,207,209,224,258,0,292,2098,665
