Id,Id2,Geography,Year,Estimate; Gini Index,Margin of Error; Gini Index
0500000US06107,6107,"Tulare County, California",2007,0.452,0.015
0500000US06111,6111,"Ventura County, California",2007,0.432,0.015
0500000US06113,6113,"Yolo County, California",2007,0.452,0.017
0500000US06115,6115,"Yuba County, California",2007,0.429,0.03
0500000US06001,6001,"Alameda County, California",2006,0.45,0.008
0500000US06007,6007,"Butte County, California",2006,0.439,0.016
0500000US06013,6013,"Contra Costa County, California",2006,0.453,0.011
0500000US06017,6017,"El Dorado County, California",2006,0.421,0.019
0500000US06019,6019,"Fresno County, California",2006,0.453,0.012
0500000US06023,6023,"Humboldt County, California",2006,0.443,0.027
0500000US06025,6025,"Imperial County, California",2006,0.444,0.027
0500000US06029,6029,"Kern County, California",2006,0.452,0.01
0500000US06031,6031,"Kings County, California",2006,0.405,0.019
0500000US06033,6033,"Lake County, California",2006,0.388,0.032
0500000US06037,6037,"Los Angeles County, California",2006,0.484,0.004
0500000US06039,6039,"Madera County, California",2006,0.457,0.04
0500000US06041,6041,"Marin County, California",2006,0.498,0.022
0500000US06045,6045,"Mendocino County, California",2006,0.467,0.039
0500000US06047,6047,"Merced County, California",2006,0.447,0.018
0500000US06053,6053,"Monterey County, California",2006,0.451,0.023
0500000US06055,6055,"Napa County, California",2006,0.458,0.029
0500000US06057,6057,"Nevada County, California",2006,0.43,0.025
0500000US06059,6059,"Orange County, California",2006,0.458,0.007
0500000US06061,6061,"Placer County, California",2006,0.431,0.021
0500000US06065,6065,"Riverside County, California",2006,0.427,0.008
0500000US06067,6067,"Sacramento County, California",2006,0.428,0.009
0500000US06071,6071,"San Bernardino County, California",2006,0.417,0.009
0500000US06073,6073,"San Diego County, California",2006,0.451,0.007
0500000US06075,6075,"San Francisco County, California",2006,0.497,0.012
0500000US06077,6077,"San Joaquin County, California",2006,0.428,0.012
0500000US06079,6079,"San Luis Obispo County, California",2006,0.467,0.018
0500000US06081,6081,"San Mateo County, California",2006,0.463,0.012
0500000US06083,6083,"Santa Barbara County, California",2006,0.48,0.018
0500000US06085,6085,"Santa Clara County, California",2006,0.456,0.01
0500000US06087,6087,"Santa Cruz County, California",2006,0.463,0.026
0500000US06089,6089,"Shasta County, California",2006,0.453,0.026
0500000US06095,6095,"Solano County, California",2006,0.405,0.014
0500000US06097,6097,"Sonoma County, California",2006,0.44,0.017
0500000US06099,6099,"Stanislaus County, California",2006,0.447,0.015
0500000US06101,6101,"Sutter County, California",2006,0.423,0.029
0500000US06107,6107,"Tulare County, California",2006,0.454,0.019
0500000US06111,6111,"Ventura County, California",2006,0.431,0.012
0500000US06113,6113,"Yolo County, California",2006,0.448,0.02
0500000US06115,6115,"Yuba County, California",2006,0.433,0.025
