GeoID,Date,Median contract rent
6007,12/31/2010,764
6013,12/31/2010,1198
6017,12/31/2010,981
6019,12/31/2010,707
6023,12/31/2010,721
6025,12/31/2010,615
6029,12/31/2010,709
6031,12/31/2010,692
6033,12/31/2010,649
6037,12/31/2010,1061
6039,12/31/2010,788
6041,12/31/2010,1428
6045,12/31/2010,845
6047,12/31/2010,687
6053,12/31/2010,1075
6055,12/31/2010,1113
6057,12/31/2010,878
6059,12/31/2010,1320
6061,12/31/2010,980
6065,12/31/2010,985
6067,12/31/2010,865
6071,12/31/2010,922
6073,12/31/2010,1178
6075,12/31/2010,1321
6077,12/31/2010,848
6079,12/31/2010,1034
6081,12/31/2010,1394
6083,12/31/2010,1183
6085,12/31/2010,1345
6087,12/31/2010,1194
6089,12/31/2010,736
6095,12/31/2010,1096
6097,12/31/2010,1121
6099,12/31/2010,813
6101,12/31/2010,713
6107,12/31/2010,665
6111,12/31/2010,1294
6113,12/31/2010,957
6115,12/31/2010,707
6001,12/31/2011,1173
6007,12/31/2011,741
6013,12/31/2011,1181
6017,12/31/2011,871
6019,12/31/2011,730
6023,12/31/2011,757
6025,12/31/2011,592
6029,12/31/2011,713
6031,12/31/2011,769
6033,12/31/2011,791
6037,12/31/2011,1073
6039,12/31/2011,671
6041,12/31/2011,1391
6045,12/31/2011,857
6047,12/31/2011,712
6053,12/31/2011,1061
6055,12/31/2011,1223
6057,12/31/2011,1009
6059,12/31/2011,1360
6061,12/31/2011,1040
6065,12/31/2011,960
6067,12/31/2011,872
6071,12/31/2011,937
6073,12/31/2011,1170
6075,12/31/2011,1361
6077,12/31/2011,834
6079,12/31/2011,1125
6081,12/31/2011,1467
6083,12/31/2011,1181
6085,12/31/2011,1389
6087,12/31/2011,1264
6089,12/31/2011,728
6095,12/31/2011,1096
6097,12/31/2011,1108
6099,12/31/2011,802
6101,12/31/2011,715
6107,12/31/2011,641
6111,12/31/2011,1303
6113,12/31/2011,900
6115,12/31/2011,628
6001,12/31/2012,1182
6007,12/31/2012,783
6013,12/31/2012,1230
6017,12/31/2012,945
6019,12/31/2012,740
6023,12/31/2012,738
6025,12/31/2012,595
6029,12/31/2012,723
6031,12/31/2012,691
6033,12/31/2012,644
6037,12/31/2012,1088
6039,12/31/2012,780
6041,12/31/2012,1500
6045,12/31/2012,740
6047,12/31/2012,711
6053,12/31/2012,1094
6055,12/31/2012,1214
6057,12/31/2012,1048
6059,12/31/2012,1391
6061,12/31/2012,1093
6065,12/31/2012,985
6067,12/31/2012,869
6071,12/31/2012,936
6073,12/31/2012,1195
6075,12/31/2012,1459
6077,12/31/2012,845
6079,12/31/2012,1087
6081,12/31/2012,1500
6083,12/31/2012,1234
6085,12/31/2012,1480
6087,12/31/2012,1378
6089,12/31/2012,754
6095,12/31/2012,1115
6097,12/31/2012,1145
6099,12/31/2012,806
6101,12/31/2012,744
6107,12/31/2012,689
6111,12/31/2012,1356
6113,12/31/2012,934
6115,12/31/2012,760
6001,12/31/2013,1236
6007,12/31/2013,765
6013,12/31/2013,1283
6017,12/31/2013,866
6019,12/31/2013,738
6023,12/31/2013,797
6025,12/31/2013,639
6029,12/31/2013,744
6031,12/31/2013,694
6033,12/31/2013,764
6037,12/31/2013,1114
6039,12/31/2013,826
6041,12/31/2013,1527
6045,12/31/2013,785
6047,12/31/2013,730
6053,12/31/2013,1139
6055,12/31/2013,1197
6057,12/31/2013,1071
6059,12/31/2013,1429
6061,12/31/2013,1172
6065,12/31/2013,1016
6067,12/31/2013,890
6071,12/31/2013,962
6073,12/31/2013,1214
6075,12/31/2013,1440
6077,12/31/2013,849
6079,12/31/2013,1078
6081,12/31/2013,1599
6083,12/31/2013,1237
6085,12/31/2013,1577
6087,12/31/2013,1244
6089,12/31/2013,713
6095,12/31/2013,1145
6097,12/31/2013,1172
6099,12/31/2013,797
6101,12/31/2013,835
6107,12/31/2013,669
6111,12/31/2013,1432
6113,12/31/2013,988
6115,12/31/2013,768
