GeoID,Date,Owner occupied,Renter occupied
6039,12/31/2011,0.5566,0.4434
6041,12/31/2011,0.6149,0.3851
6045,12/31/2011,0.5750,0.4250
6047,12/31/2011,0.4954,0.5046
6053,12/31/2011,0.4495,0.5505
6055,12/31/2011,0.5204,0.4796
6057,12/31/2011,0.7234,0.2766
6059,12/31/2011,0.5840,0.4160
6061,12/31/2011,0.7269,0.2731
6065,12/31/2011,0.6557,0.3443
6067,12/31/2011,0.5636,0.4364
6071,12/31/2011,0.6192,0.3808
6073,12/31/2011,0.5374,0.4626
6075,12/31/2011,0.4257,0.5743
6077,12/31/2011,0.5692,0.4308
6079,12/31/2011,0.5493,0.4507
6081,12/31/2011,0.6082,0.3918
6083,12/31/2011,0.4776,0.5224
6085,12/31/2011,0.5780,0.4220
6087,12/31/2011,0.5594,0.4406
6089,12/31/2011,0.6508,0.3492
6095,12/31/2011,0.6130,0.3870
6097,12/31/2011,0.5837,0.4163
6099,12/31/2011,0.5754,0.4246
6101,12/31/2011,0.6252,0.3748
6107,12/31/2011,0.5548,0.4452
6111,12/31/2011,0.6538,0.3462
6113,12/31/2011,0.5432,0.4568
6115,12/31/2011,0.5455,0.4545
6001,12/31/2012,0.5487,0.4513
6007,12/31/2012,0.5647,0.4353
6013,12/31/2012,0.6371,0.3629
6017,12/31/2012,0.7140,0.2860
6019,12/31/2012,0.4964,0.5036
6023,12/31/2012,0.5479,0.4521
6025,12/31/2012,0.5716,0.4284
6029,12/31/2012,0.5592,0.4408
6031,12/31/2012,0.4802,0.5198
6033,12/31/2012,0.5788,0.4212
6037,12/31/2012,0.4836,0.5164
6039,12/31/2012,0.5446,0.4554
6041,12/31/2012,0.6342,0.3658
6045,12/31/2012,0.5270,0.4730
6047,12/31/2012,0.5189,0.4811
6053,12/31/2012,0.4631,0.5369
6055,12/31/2012,0.5899,0.4101
6057,12/31/2012,0.7018,0.2982
6059,12/31/2012,0.5616,0.4384
6061,12/31/2012,0.6949,0.3051
6065,12/31/2012,0.6328,0.3672
6067,12/31/2012,0.5606,0.4394
6071,12/31/2012,0.5959,0.4041
6073,12/31/2012,0.5335,0.4665
6075,12/31/2012,0.4152,0.5848
6077,12/31/2012,0.5515,0.4485
6079,12/31/2012,0.5602,0.4398
6081,12/31/2012,0.5787,0.4213
6083,12/31/2012,0.5007,0.4993
6085,12/31/2012,0.5713,0.4287
6087,12/31/2012,0.5447,0.4553
6089,12/31/2012,0.6018,0.3982
6095,12/31/2012,0.5808,0.4192
6097,12/31/2012,0.5848,0.4152
6099,12/31/2012,0.5391,0.4609
6101,12/31/2012,0.6010,0.3990
6107,12/31/2012,0.5445,0.4555
6111,12/31/2012,0.6370,0.3630
6113,12/31/2012,0.5033,0.4967
6115,12/31/2012,0.5816,0.4184
6001,12/31/2013,0.5507,0.4493
6007,12/31/2013,0.5745,0.4255
6013,12/31/2013,0.6397,0.3603
6017,12/31/2013,0.7279,0.2721
6019,12/31/2013,0.5001,0.4999
6023,12/31/2013,0.5486,0.4514
6025,12/31/2013,0.5354,0.4646
6029,12/31/2013,0.5258,0.4742
6031,12/31/2013,0.5300,0.4700
6033,12/31/2013,0.6181,0.3819
6037,12/31/2013,0.4808,0.5192
6039,12/31/2013,0.5522,0.4478
6041,12/31/2013,0.6608,0.3392
6045,12/31/2013,0.5579,0.4421
6047,12/31/2013,0.5004,0.4996
6053,12/31/2013,0.4699,0.5301
6055,12/31/2013,0.6055,0.3945
6057,12/31/2013,0.7100,0.2900
6059,12/31/2013,0.5657,0.4343
6061,12/31/2013,0.7038,0.2962
6065,12/31/2013,0.6231,0.3769
6067,12/31/2013,0.5454,0.4546
6071,12/31/2013,0.6058,0.3942
6073,12/31/2013,0.5239,0.4761
6075,12/31/2013,0.4172,0.5828
6077,12/31/2013,0.5416,0.4584
6079,12/31/2013,0.5547,0.4453
6081,12/31/2013,0.6151,0.3849
6083,12/31/2013,0.4967,0.5033
6085,12/31/2013,0.5708,0.4292
6087,12/31/2013,0.5940,0.4060
6089,12/31/2013,0.5890,0.4110
6095,12/31/2013,0.5889,0.4111
6097,12/31/2013,0.5852,0.4148
6099,12/31/2013,0.5541,0.4459
6101,12/31/2013,0.5852,0.4148
6107,12/31/2013,0.5161,0.4839
6111,12/31/2013,0.6134,0.3866
6113,12/31/2013,0.4989,0.5011
6115,12/31/2013,0.5646,0.4354
