GeoID,Date,Estimate; Median contract rent,Margin of Error; Median contract rent
6079,12/31/2011,1125,46
6081,12/31/2011,1467,41
6083,12/31/2011,1181,39
6085,12/31/2011,1389,20
6087,12/31/2011,1264,70
6089,12/31/2011,728,42
6095,12/31/2011,1096,57
6097,12/31/2011,1108,27
6099,12/31/2011,802,21
6101,12/31/2011,715,87
6107,12/31/2011,641,24
6111,12/31/2011,1303,42
6113,12/31/2011,900,49
6115,12/31/2011,628,81
6001,12/31/2012,1182,16
6007,12/31/2012,783,28
6013,12/31/2012,1230,28
6017,12/31/2012,945,65
6019,12/31/2012,740,14
6023,12/31/2012,738,49
6025,12/31/2012,595,29
6029,12/31/2012,723,19
6031,12/31/2012,691,29
6033,12/31/2012,644,52
6037,12/31/2012,1088,6
6039,12/31/2012,780,67
6041,12/31/2012,1500,56
6045,12/31/2012,740,90
6047,12/31/2012,711,30
6053,12/31/2012,1094,36
6055,12/31/2012,1214,58
6057,12/31/2012,1048,79
6059,12/31/2012,1391,13
6061,12/31/2012,1093,50
6065,12/31/2012,985,19
6067,12/31/2012,869,12
6071,12/31/2012,936,18
6073,12/31/2012,1195,11
6075,12/31/2012,1459,38
6077,12/31/2012,845,22
6079,12/31/2012,1087,38
6081,12/31/2012,1500,38
6083,12/31/2012,1234,39
6085,12/31/2012,1480,21
6087,12/31/2012,1378,75
6089,12/31/2012,754,46
6095,12/31/2012,1115,30
6097,12/31/2012,1145,26
6099,12/31/2012,806,17
6101,12/31/2012,744,53
6107,12/31/2012,689,26
6111,12/31/2012,1356,34
6113,12/31/2012,934,34
6115,12/31/2012,760,57
6001,12/31/2013,1236,17
6007,12/31/2013,765,38
6013,12/31/2013,1283,38
6017,12/31/2013,866,37
6019,12/31/2013,738,13
6023,12/31/2013,797,44
6025,12/31/2013,639,32
6029,12/31/2013,744,19
6031,12/31/2013,694,48
6033,12/31/2013,764,25
6037,12/31/2013,1114,6
6039,12/31/2013,826,23
6041,12/31/2013,1527,90
6045,12/31/2013,785,83
6047,12/31/2013,730,31
6053,12/31/2013,1139,30
6055,12/31/2013,1197,67
6057,12/31/2013,1071,90
6059,12/31/2013,1429,16
6061,12/31/2013,1172,49
6065,12/31/2013,1016,18
6067,12/31/2013,890,15
6071,12/31/2013,962,14
6073,12/31/2013,1214,13
6075,12/31/2013,1440,32
6077,12/31/2013,849,20
6079,12/31/2013,1078,48
6081,12/31/2013,1599,42
6083,12/31/2013,1237,43
6085,12/31/2013,1577,24
6087,12/31/2013,1244,66
6089,12/31/2013,713,36
6095,12/31/2013,1145,35
6097,12/31/2013,1172,34
6099,12/31/2013,797,15
6101,12/31/2013,835,39
6107,12/31/2013,669,25
6111,12/31/2013,1432,34
6113,12/31/2013,988,41
6115,12/31/2013,768,51
